,unitid,opeid,opeid6,instnm,city,stabbr,zip,cip11bachl,violentcrime,propertycrime,state_x,crimescore,cur_index,state_y,above75,stateabbr
0,446677,367405,3674,Stevens-Henager College-Logan,Logan,UT,84321,1.0,61.6,1201.2,UT,403.48,0.64,Utah,True,UT
1,230728,367700,3677,Utah State University,Logan,UT,84322-1400,2.0,61.6,1201.2,UT,403.48,0.64,Utah,True,UT
2,230038,367000,3670,Brigham Young University-Provo,Provo,UT,84602,2.0,71.7,1551.5,UT,515.64,0.64,Utah,True,UT
3,477950,367411,3674,Stevens-Henager College-St George,St. George,UT,84790-2111,1.0,133.3,1676.2,UT,596.1700000000001,0.64,Utah,True,UT
70,367884,3037500,30375,Hodges University,Naples,FL,34119-7932,2.0,286.7,1347.7,FL,605.0,1.110000014,Florida,True,FL
71,132851,147100,1471,College of Central Florida,Ocala,FL,34474,1.0,363.1,2096.6,FL,883.1499999999999,1.110000014,Florida,True,FL
72,138309,869410,8694,Rasmussen College-Florida,Ocala,FL,34474-6226,2.0,363.1,2096.6,FL,883.1499999999999,1.110000014,Florida,True,FL
73,134079,148800,1488,Florida Southern College,Lakeland,FL,33801-5698,1.0,339.7,2472.1,FL,979.42,1.110000014,Florida,True,FL
93,474906,3120302,31203,CollegeAmerica-Stevens Henager College,Idaho Falls,ID,83402,1.0,183.9,1822.8,ID,675.5699999999999,0.920000017,Idaho,True,ID
94,142115,161600,1616,Boise State University,Boise,ID,83725,2.0,233.9,1725.3,ID,681.3199999999999,0.920000017,Idaho,True,ID
95,142337,732915,7329,ITT Technical Institute-Boise,Boise,ID,83713-1529,1.0,233.9,1725.3,ID,681.3199999999999,0.920000017,Idaho,True,ID
96,455600,4051323,40513,Brown Mackie College-Boise,Boise,ID,83709,1.0,233.9,1725.3,ID,681.3199999999999,0.920000017,Idaho,True,ID
97,460899,367406,3674,Stevens-Henager College-Boise,Boise,ID,83709-6733,2.0,233.9,1725.3,ID,681.3199999999999,0.920000017,Idaho,True,ID
117,182564,1036300,10363,Western Nevada College,Carson City,NV,89703-7399,1.0,314.7,1829.7,NV,769.1999999999999,1.2999999070000001,Nevada,True,NV
125,413848,732995,7329,ITT Technical Institute-Oxnard,Oxnard,CA,93036,1.0,255.7,2028.1,CA,787.42,0.8500000240000001,California,True,CA
126,460075,4133100,41331,California University of Management and Sciences,Anaheim,CA,92801,1.0,227.4,2148.9,CA,803.8499999999999,0.8500000240000001,California,True,CA
127,110060,3266300,32663,Bethesda University of California,Anaheim,CA,92801,2.0,227.4,2148.9,CA,803.8499999999999,0.8500000240000001,California,True,CA
128,437848,754802,7548,Westwood College-Anaheim,Anaheim,CA,92806,1.0,227.4,2148.9,CA,803.8499999999999,0.8500000240000001,California,True,CA
129,399869,3113600,31136,Southern California Institute of Technology,Anaheim,CA,92801-3758,1.0,227.4,2148.9,CA,803.8499999999999,0.8500000240000001,California,True,CA
130,122436,1039500,10395,University of San Diego,San Diego,CA,92110-2492,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
131,121309,126200,1262,Point Loma Nazarene University,San Diego,CA,92106-2899,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
132,121275,2304300,23043,Platt College-San Diego,San Diego,CA,92115-3919,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
133,117113,2179947,21799,The Art Institute of California-Argosy University San Diego,San Diego,CA,92108-4423,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
134,112446,729600,7296,Coleman University,San Diego,CA,92123-1506,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
135,110945,2110800,21108,California College San Diego,San Diego,CA,92111-1009,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
136,372222,2098883,20988,University of Phoenix-San Diego Campus,San Diego,CA,92123-2658,2.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
137,122409,115100,1151,San Diego State University,San Diego,CA,92182,1.0,331.8,1922.1,CA,808.89,0.8500000240000001,California,True,CA
138,406006,2098803,20988,University of Phoenix-Bay Area Campus,San Jose,CA,95134-1805,2.0,251.5,2316.7,CA,871.0599999999998,0.8500000240000001,California,True,CA
139,122755,115500,1155,San Jose State University,San Jose,CA,95192-0001,2.0,251.5,2316.7,CA,871.0599999999998,0.8500000240000001,California,True,CA
141,228796,366100,3661,The University of Texas at El Paso,El Paso,TX,79968-0691,2.0,354.3,1825.1,TX,795.54,0.990000009,Texas,True,TX
142,222983,354300,3543,Austin College,Sherman,TX,75090-4400,1.0,327.1,2123.4,TX,865.99,0.990000009,Texas,True,TX
143,228246,361300,3613,Southern Methodist University,Dallas,TX,75275-0221,1.0,330.6,2434.0,TX,961.6199999999999,0.990000009,Texas,True,TX
144,224226,356000,3560,Dallas Baptist University,Dallas,TX,75211-9299,2.0,330.6,2434.0,TX,961.6199999999999,0.990000009,Texas,True,TX
145,227429,360200,3602,Paul Quinn College,Dallas,TX,75241,2.0,330.6,2434.0,TX,961.6199999999999,0.990000009,Texas,True,TX
146,224776,1303912,13039,South University-The Art Institute of Dallas,Dallas,TX,75231-5993,1.0,330.6,2434.0,TX,961.6199999999999,0.990000009,Texas,True,TX
147,228723,363200,3632,Texas A & M University-College Station,College Station,TX,77843-1244,2.0,315.5,2544.7,TX,984.26,0.990000009,Texas,True,TX
148,228246,361300,3613,Southern Methodist University,Dallas,TX,75275-0221,1.0,337.6,2554.3,TX,1002.6100000000001,0.990000009,Texas,True,TX
149,224226,356000,3560,Dallas Baptist University,Dallas,TX,75211-9299,2.0,337.6,2554.3,TX,1002.6100000000001,0.990000009,Texas,True,TX
150,227429,360200,3602,Paul Quinn College,Dallas,TX,75241,2.0,337.6,2554.3,TX,1002.6100000000001,0.990000009,Texas,True,TX
151,224776,1303912,13039,South University-The Art Institute of Dallas,Dallas,TX,75231-5993,1.0,337.6,2554.3,TX,1002.6100000000001,0.990000009,Texas,True,TX
152,226806,979700,9797,Midland College,Midland,TX,79705,1.0,322.3,2590.8,TX,1002.85,0.990000009,Texas,True,TX
158,448761,2594301,25943,College America-Fort Collins,Fort Collins,CO,80525,1.0,199.1,2229.0,CO,808.0699999999999,0.990000009,Colorado,True,CO
159,126818,135000,1350,Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,2.0,199.1,2229.0,CO,808.0699999999999,0.990000009,Colorado,True,CO
163,451705,2594303,25943,College America-Cheyenne,Cheyenne,WY,82009,1.0,177.4,2581.9,WY,898.75,0.629999966,Wyoming,True,WY
